Source (Orig),Source (Surface),Source (Distrib),Ref (Hindi),Hyp Orig,Hyp Surface,Hyp Distrib,COMET Orig,COMET Surface,COMET Distrib,ΔCOMET (Surf),Surf Modified?,Dist Modified?
"Other than this, no one can say anything more.","Oher than this, no onne can say anythihng more.",Other than yeh no one can say anything more.,इसके अलावा कोई कुछ नहीं बता सकता।,"इसके अलावा, कोई और अधिक कुछ नहीं कह सकता है.","इस की तुलना में ओह, कोई भी n n और अधिक कह सकते हैं.",कोई और अधिक कुछ नहीं कह सकता.,0.9274,0.3497,0.9017,+0.5778,Yes,Yes
Very few companies have received this award for so many consecutive years.,VVery few cojmpanies hacve received this awad for so many consecutive years.,Very few companies have received yeh award for so many consecutive years.,बहुत कम कंपनियों को यह पुरस्कार इतने वर्षो तक लगातार मिला है।,बहुत कम कंपनियों को यह पुरस्कार इतने लगातार कई सालों से मिला है ।,वी बहुत कम सहवासों ने इसे इतने लगातार कई सालों तक जारी रखा.,बहुत कम कंपनियों ने इतने लगातार सालों से पुरस्कार प्राप्त किया है.,0.9443,0.4406,0.9243,+0.5037,Yes,Yes
"It is no surprise that the idea appeals to urban liberals, as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases, for example.","It is no that surprise the ieda appeals to liberals, as te taxes coulld be rigged to change driving patterns in ways htat fcould help reduce congestino an greenhouse gases, gfor example.","It hai nahi surprise that the idea appeals to urban liberals, as the taxes could hona rigged to change driving patterns in ways woh could madad reduce congestion aur greenhouse gases, for example.","यह आश्चर्य की बात नहीं है कि यह विचार शहरी उदारवादियों को अच्छा लग रहा है, क्योंकि इससे, उदाहरण के लिए कार चलाने के तौर-तरीके में परिवर्तन करने के लिए करों में बदलाव किया जा सकता है, जो जाम कम करने तथा ग्रीनहाउस गैस कम करने में सहायता कर सकता है।","यह कोई आश्‍चर्य की बात नहीं कि यह विचार शहरी उदारियों को आकर्षक लगता है, क्योंकि करों को ऐसे तरीक़ों से बदलने के लिए सख़्त किया जा सकता है जो प्रदूषण और ग्रीनहाउस गैसों को कम करने में मदद कर सकते हैं ।",यह आश्‍चर्य की बात नहीं कि आई. एन. ए.,"यह आश्‍चर्य की बात है कि यह विचार शहरी उदारताओं को आकर्षक लगता है, क्योंकि करों ने ऐसे तरीक़ों से गाड़ी चलाने के तरीक़े बदल दिए जो पागल न हों ।",0.7331,0.2975,0.4629,+0.4356,Yes,Yes
Normal life has also been affected by the cold.,Normal life has also been fafected by thwe cold.,Normal life has also been affected by the cold.,ठंड से सामान्य जनजीवन भी प्रभावित होकर रह गया।,सामान्य जीवन भी ठंड से प्रभावित हुआ है ।,सामान्य जीवन भी वेवपी द्वारा मुक्‍त किया गया है ।,सामान्य जीवन भी ठंड से प्रभावित हुआ है ।,0.9152,0.4924,0.9152,+0.4228,Yes,No
"Due to the rains along with strong winds in Jammu in the early morning of Thursday, the cold increased at night.","to Dhue the raisn along with strong winds in Jammu in the early morning of Thursday, the ccold increased at night.","Due to the rains along with strong winds in Jammu in the early subah of Thursday, the cold increased at raat",वहीं जम्मू में भी वीरवार तड़के तेज हवा के साथ हुई बारिश के कारण रात के समय ठंड बढ़ गई है।,"इसके अलावा, गुरुवार की सुबह के वक्‍त जामू में मूसलाधार बारिश होने की वजह से रात में ठंड बढ़ती गयी ।","वसंत की सुबह, जरमॉ में तेज़ हवाओं के साथ राइस के साथ, रात में वृद्धि हुई ।","गुरुवार की शुरूआत में जामरू में मूसलाधार बारिश के साथ - साथ, राकाउ में गर्मी बढ़ती गयी",0.8209,0.4398,0.7197,+0.3811,Yes,Yes
This ceremony took place three weeks ago.,Thiqs ceremony took pllace three eweeks ago.,yeh ceremony took place three weeks ago.,यह समारोह तीन हफ्ते पहले ही हुआ है।,यह समारोह तीन सप्ताह पहले हुआ था.,तीन हफ्ते पहले छाते की रस्म होती थी ।,Hhr समारोह तीन सप्ताह पहले किया गया था.,0.9513,0.5766,0.7853,+0.3747,Yes,Yes
He will be going to the villages of the people killed in the bomb blasts to meet the families.,He will be goig to the vilklages of the people killed in the bomb bladsts to meet thhe families.,She will hona going to the villages of the log killed in the bomb blasts to meet the families.,वे शनिवार सुबह सात बजे से विस्फोटों में मारे गए लोगों के गांव जाकर उनके परिजनों से मिलेंगे।,वह उन लोगों के गाँवों में जा रहा होगा जो बम विस्फोटों में मारे गए थे परिवारों से मिलने के लिए.,उन्होंने कहा कि लोगों के villaks के vils के लिए जाना जाएगा बम blags में मारे गए परिवारों से मिलने के लिए।,वह हॉनना को बम विस्फोटों में मारे गए लॉगों के गाँवों में जाना होगा परिवारों से मिलने के लिए.,0.7997,0.4261,0.6620,+0.3737,Yes,Yes
The consolation tour was an exercise organised by the BJP to console the families of the victims of the Patna bomb blasts.,The consolation toour wsa an exercise by the BJP to consloe the families of the victims of the Ptna bomb blasts.,The consolation tour was an exercise organised by the BJP to console the families of the victims of the Patna bomb blasts.,सांत्वना यात्रा का आयोजन पटना में हुए विस्फोटों में मारे गए लोगों के परिजनों को भाजपा की ओर से मरहम लगाने की कवायद है।,बीJP ने एक व्यायाम - यात्रा शुरू की जिसमें पटना बम विस्फोटों के शिकार परिवारों को सांत्वना देने के लिए एक व्यायाम आयोजित किया गया ।,बीजेपी द्वारा एक व्यायाम से मुक्‍ति प्राप्त हुई,बीJP ने एक व्यायाम - यात्रा शुरू की जिसमें पटना बम विस्फोटों के शिकार परिवारों को सांत्वना देने के लिए एक व्यायाम आयोजित किया गया ।,0.7080,0.3381,0.7080,+0.3699,Yes,No
When they are receiving information from the police and other people how can we stop them?,When are receiving information ffrom the police ajnd other peopl how cqan we stop them?,When woh hain receiving information from the police aur other people how can hum stop them?,जब पुलिस और अन्य लोगों से वे सूचनाएं हासिल कर रहे हैं तो हम उन्हें कैसे रोक सकते हैं।,जब पुलिस और अन्य लोगों से जानकारी प्राप्त की जाती है तो हम उन्हें कैसे रोक सकते हैं?,पुलिस द्वारा सूचना f प्राप्त जब हम उन्हें कैसे रोक रहे हैं?,पुलिस से जानकारी प्राप्त करते समय... ... अन्य लोगों से कैसे उन्हें परेशान कर सकते हैं?,0.8879,0.5329,0.6049,+0.3550,Yes,Yes
"Thousands of motorists have already taken the black boxes, some of which have GPS monitoring, for a test drive.","Tousands of moorists have already take the black boxes, soe of which ahve GPS monitoring, for a tset drive.","Thousands of motorists hai already taken the black boxes, some of which hai GPS monitoring, for a test drive.","हजारों मोटर-चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है, जिसमें से कुछ में जी.पी.एस. मॉनीटरिंग है।","हज़ारों मोटर - चालकों ने पहले ही ब्लैक बक्से ले लिए हैं, जिनमें से कुछ के पास जीपीएस निगरानी है, एक परीक्षण ड्राइव के लिए.","Verusands के ब्लैक बक्से पहले से ही ले लिया है, तो जिस में से एक Herval ड्राइव के लिए।","एक परीक्षा ड्राइव के लिए, जहाँ से वायोवा की निगरानी, ब्लैक बक्से ले जाया जा रहा है.",0.7562,0.4074,0.4657,+0.3488,Yes,Yes
